t,x,y,h,correction_norm,distance_obs1,physical_margin_obs1,filter_margin_obs1,distance_obs2,physical_margin_obs2,filter_margin_obs2
4.749999999999991118e+00,2.495694653005885222e+00,1.642040335361795611e+00,1.021692113817698910e+01,2.273947078761327876e-03,3.409355872136795806e+00,2.959355872136796073e+00,2.809355872136795718e+00,5.331440169594689138e+00,4.731440169594689493e+00,4.581440169594689138e+00
4.799999999999990941e+00,2.486068201772605235e+00,1.657310882305066624e+00,1.012395834110059312e+01,2.279326481026678914e-03,3.395953352750205489e+00,2.945953352750205312e+00,2.795953352750205401e+00,5.321770292891152110e+00,4.721770292891152465e+00,4.571770292891152110e+00
4.849999999999990763e+00,2.476297148364413392e+00,1.672516758466707554e+00,1.003102884700932940e+01,2.284500070141056664e-03,3.382471841302905347e+00,2.932471841302905169e+00,2.782471841302905258e+00,5.311999460205159451e+00,4.711999460205159806e+00,4.561999460205159451e+00
4.899999999999990585e+00,2.466382796709548408e+00,1.687659798663402988e+00,9.938151738086332898e+00,2.289448988679963336e-03,3.368911549028412722e+00,2.918911549028412544e+00,2.768911549028412633e+00,5.302128668258301758e+00,4.702128668258302113e+00,4.552128668258301758e+00
4.949999999999990408e+00,2.456326736892605389e+00,1.702741521341508024e+00,9.845345620294844835e+00,2.294158725881943230e-03,3.355273083095520192e+00,2.905273083095520015e+00,2.755273083095520104e+00,5.292159224612995594e+00,4.692159224612995949e+00,4.542159224612995594e+00
4.999999999999990230e+00,2.446130798731795064e+00,1.717763152494886425e+00,9.752628548166642375e+00,2.298618692337342506e-03,3.341557391418382483e+00,2.891557391418382750e+00,2.741557391418382394e+00,5.282092696813586841e+00,4.682092696813587196e+00,4.532092696813586841e+00
5.049999999999990052e+00,2.435797009304164096e+00,1.732725648755431669e+00,9.660017964836059789e+00,2.302821815107125060e-03,3.327765711690327866e+00,2.877765711690328132e+00,2.727765711690327777e+00,5.271930865861845561e+00,4.671930865861845916e+00,4.521930865861845561e+00
5.099999999999989875e+00,2.425327554276088815e+00,1.747629719597269427e+00,9.567530655794744376e+00,2.306764153972106542e-03,3.313899524530656393e+00,2.863899524530656215e+00,2.713899524530656304e+00,5.261675683869308173e+00,4.661675683869308529e+00,4.511675683869308173e+00
5.149999999999989697e+00,2.414724742881489750e+00,1.762475848608243911e+00,9.475182714923793270e+00,2.310444539296853308e-03,3.299960510612798714e+00,2.849960510612798537e+00,2.699960510612798625e+00,5.251329235712963062e+00,4.651329235712963417e+00,4.501329235712963062e+00
5.199999999999989519e+00,2.403990976378708844e+00,1.777264313793858630e+00,9.382989521443544589e+00,2.313864231779726166e-03,3.285950511625159276e+00,2.835950511625159542e+00,2.685950511625159187e+00,5.240893704508549966e+00,4.640893704508550321e+00,4.490893704508549966e+00
