time_s,leader_x_m,leader_y_m,leader_vx_map_ms,leader_vy_map_ms,leader_v_ms,leader_yaw_rad,leader_omega_rads,follower_x_m,follower_y_m,follower_vx_map_ms,follower_vy_map_ms,follower_v_ms,follower_yaw_rad,follower_omega_rads,distance_m
0.6305,0.0243,1.7008,-0.2716,-0.1547,0.3126,0.0074,-0.0056,-1.8828,1.8481,0.4047,-0.0827,0.4130,-0.0941,-0.0004,1.9128
0.6505,0.0220,1.6994,-0.2693,-0.1545,0.3105,0.0069,0.0005,-1.8791,1.8472,0.4034,-0.0827,0.4118,-0.0907,0.0001,1.9069
0.6508,0.0199,1.6981,-0.2693,-0.1545,0.3105,0.0066,0.0005,-1.8760,1.8465,0.4047,-0.0835,0.4132,-0.0872,0.0060,1.9017
0.6603,0.0181,1.6968,-0.2687,-0.1546,0.3100,0.0061,0.0017,-1.8725,1.8458,0.4029,-0.0847,0.4117,-0.0847,0.0300,1.8965
0.6607,0.0158,1.6953,-0.2680,-0.1545,0.3093,0.0053,0.0022,-1.8690,1.8451,0.4035,-0.0848,0.4123,-0.0804,0.0264,1.8908
0.6803,0.0139,1.6941,-0.2677,-0.1545,0.3091,0.0050,0.0014,-1.8657,1.8445,0.4037,-0.0849,0.4125,-0.0783,0.0239,1.8856
0.6808,0.0117,1.6926,-0.2662,-0.1537,0.3073,0.0043,-0.0036,-1.8620,1.8436,0.4026,-0.0845,0.4114,-0.0743,0.0232,1.8798
0.6904,0.0075,1.6899,-0.2666,-0.1546,0.3082,0.0028,-0.0029,-1.8589,1.8430,0.4043,-0.0850,0.4131,-0.0706,0.0202,1.8727
0.6907,0.0075,1.6899,-0.2666,-0.1546,0.3082,0.0028,-0.0029,-1.8551,1.8421,0.4037,-0.0851,0.4126,-0.0665,0.0178,1.8688
0.7103,0.0056,1.6887,-0.2651,-0.1553,0.3072,0.0017,0.0054,-1.8517,1.8415,0.4044,-0.0854,0.4133,-0.0616,0.0107,1.8636
0.7107,0.0037,1.6875,-0.2651,-0.1553,0.3072,0.0010,0.0054,-1.8485,1.8409,0.4048,-0.0858,0.4138,-0.0585,0.0091,1.8585
0.7305,0.0019,1.6864,-0.2640,-0.1556,0.3064,-0.0000,0.0140,-1.8453,1.8403,0.4042,-0.0856,0.4132,-0.0544,0.0089,1.8536
0.7308,-0.0001,1.6851,-0.2640,-0.1556,0.3064,-0.0013,0.0140,-1.8419,1.8396,0.4041,-0.0856,0.4130,-0.0515,0.0054,1.8482
0.7503,-0.0022,1.6838,-0.2629,-0.1552,0.3053,-0.0025,0.0055,-1.8383,1.8388,0.4039,-0.0856,0.4129,-0.0478,0.0067,1.8426
0.7507,-0.0041,1.6827,-0.2626,-0.1552,0.3050,-0.0037,0.0032,-1.8351,1.8381,0.4040,-0.0859,0.4130,-0.0452,0.0089,1.8376
0.7707,-0.0064,1.6811,-0.2617,-0.1549,0.3042,-0.0056,-0.0012,-1.8314,1.8373,0.4034,-0.0861,0.4125,-0.0403,0.0098,1.8316
0.7711,-0.0079,1.6802,-0.2617,-0.1549,0.3042,-0.0064,-0.0012,-1.8287,1.8368,0.4041,-0.0864,0.4132,-0.0376,0.0117,1.8275
0.7802,-0.0102,1.6786,-0.2600,-0.1550,0.3027,-0.0074,-0.0010,-1.8248,1.8361,0.4019,-0.0862,0.4111,-0.0327,0.0141,1.8214
0.7807,-0.0122,1.6773,-0.2600,-0.1550,0.3027,-0.0081,-0.0010,-1.8215,1.8356,0.4026,-0.0860,0.4117,-0.0281,0.0271,1.8162
0.8004,-0.0142,1.6761,-0.2600,-0.1566,0.3035,-0.0087,0.0006,-1.8181,1.8351,0.4040,-0.0863,0.4131,-0.0250,0.0254,1.8109
0.8008,-0.0160,1.6749,-0.2600,-0.1566,0.3035,-0.0088,0.0006,-1.8149,1.8346,0.4040,-0.0863,0.4131,-0.0220,0.0254,1.8060
0.8102,-0.0180,1.6735,-0.2572,-0.1560,0.3008,-0.0091,0.0026,-1.8113,1.8339,0.4029,-0.0854,0.4119,-0.0185,0.0134,1.8005
0.8105,-0.0197,1.6722,-0.2572,-0.1560,0.3008,-0.0094,0.0026,-1.8080,1.8332,0.4027,-0.0852,0.4117,-0.0152,0.0159,1.7955
0.8303,-0.0215,1.6709,-0.2555,-0.1563,0.2996,-0.0097,0.0021,-1.8045,1.8326,0.4032,-0.0853,0.4121,-0.0115,0.0155,1.7904
0.8305,-0.0232,1.6695,-0.2555,-0.1563,0.2996,-0.0101,0.0021,-1.8013,1.8321,0.4032,-0.0853,0.4121,-0.0078,0.0155,1.7855
